timestamp,bank,payment_method,transactions,failed_transactions,avg_amount,avg_retries,failure_rate,anomaly,anomaly_score
2026-08-01 19:00:00,HDFC,UPI,112,57,930.4619642857143,0.29464285714285715,0.5089285714285714,-1,-0.13129694035867445
2026-07-31 13:00:00,KOTAK,NETBANKING,4,1,343.3875,0.25,0.25,-1,-0.13073409376152656
2026-08-01 18:00:00,HDFC,UPI,109,52,797.8894495412844,0.26605504587155965,0.47706422018348627,-1,-0.13056726126468654
2026-07-30 16:00:00,KOTAK,NETBANKING,7,2,434.18142857142857,0.2857142857142857,0.2857142857142857,-1,-0.12572229631595688
2026-07-26 16:00:00,AXIS,NETBANKING,13,4,1129.4253846153847,0.3076923076923077,0.3076923076923077,-1,-0.12232924982529181
2026-07-27 18:00:00,HDFC,NETBANKING,12,3,1396.1583333333335,0.25,0.25,-1,-0.1208273876758914
2026-07-27 19:00:00,KOTAK,NETBANKING,3,1,837.5500000000001,0.3333333333333333,0.3333333333333333,-1,-0.11649984729633811
2026-07-26 04:00:00,ICICI,NETBANKING,9,3,854.8988888888889,0.3333333333333333,0.3333333333333333,-1,-0.1082725803280623
2026-07-25 04:00:00,KOTAK,NETBANKING,4,1,597.005,0.25,0.25,-1,-0.10360416200801414
2026-07-26 05:00:00,KOTAK,NETBANKING,5,1,664.73,0.4,0.2,-1,-0.0983820158143971
2026-08-02 13:00:00,AXIS,NETBANKING,9,2,1013.23,0.3333333333333333,0.2222222222222222,-1,-0.09396614296680128
2026-07-25 21:00:00,KOTAK,NETBANKING,14,4,1430.7021428571427,0.14285714285714285,0.2857142857142857,-1,-0.09143717089899062
2026-07-29 15:00:00,KOTAK,NETBANKING,6,1,1765.4566666666667,0.16666666666666666,0.16666666666666666,-1,-0.09012582059932905
2026-07-26 10:00:00,AXIS,NETBANKING,13,4,1322.0453846153846,0.15384615384615385,0.3076923076923077,-1,-0.0865843221553746
2026-07-31 06:00:00,ICICI,NETBANKING,17,4,627.5888235294118,0.29411764705882354,0.23529411764705882,-1,-0.08247843415107836
2026-07-26 09:00:00,KOTAK,NETBANKING,7,1,1768.7442857142855,0.14285714285714285,0.14285714285714285,-1,-0.07404877145690536
2026-07-28 08:00:00,KOTAK,NETBANKING,6,1,730.3883333333333,0.3333333333333333,0.16666666666666666,-1,-0.06596563083206208
2026-07-30 20:00:00,KOTAK,NETBANKING,4,1,1394.7725,0.0,0.25,-1,-0.06566693541527924
2026-07-28 21:00:00,KOTAK,NETBANKING,4,1,1401.1325,0.0,0.25,-1,-0.06566693541527924
2026-07-27 17:00:00,KOTAK,NETBANKING,6,1,741.5250000000001,0.3333333333333333,0.16666666666666666,-1,-0.0650542788811187
2026-07-28 05:00:00,KOTAK,NETBANKING,8,1,563.66625,0.25,0.125,-1,-0.06301956216680582
2026-07-25 19:00:00,KOTAK,NETBANKING,10,2,1337.673,0.2,0.2,-1,-0.05992493363658369
